Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HP,HGP,AP,AGP,AutogolH,AutogolA
09/08/2019,Liverpool,Norwich,4,1,H,4,0,H,M Oliver,15,12,7,5,9,9,11,2,0,2,0,0,0,0,0,0,0,1
10/08/2019,West Ham,Man City,0,5,A,0,1,A,M Dean,5,14,3,9,6,13,1,1,2,2,0,0,0,0,1,1,0,0
10/08/2019,Bournemouth,Sheffield Utd,1,1,D,0,0,D,K Friend,13,8,3,3,10,19,3,4,2,1,0,0,0,0,0,0,0,0
10/08/2019,Burnley,Southampton,3,0,H,0,0,D,G Scott,10,11,4,3,6,12,2,7,0,0,0,0,0,0,0,0,0,0
10/08/2019,Crystal Palace,Everton,0,0,D,0,0,D,J Moss,6,10,2,3,16,14,6,2,2,3,0,1,0,0,0,0,0,0
10/08/2019,Watford,Brighton,0,3,A,0,1,A,C Pawson,11,5,3,3,15,11,5,2,0,1,0,0,0,0,0,0,1,0
10/08/2019,Tottenham,Aston Villa,3,1,H,0,1,A,C Kavanagh,31,7,7,4,13,9,14,0,1,0,0,0,0,0,0,0,0,0
11/08/2019,Leicester,Wolves,0,0,D,0,0,D,A Marriner,15,8,1,2,3,13,12,3,2,2,0,0,0,0,0,0,0,0
11/08/2019,Newcastle Utd,Arsenal,0,1,A,0,0,D,M Atkinson,9,8,2,2,12,7,5,3,1,3,0,0,0,0,0,0,0,0
11/08/2019,Man Utd,Chelsea,4,0,H,1,0,H,A Taylor,11,18,5,7,15,13,3,5,3,4,0,0,1,1,0,0,0,0
